любимец # Один талантливый, другой, | Любимец взбалмошной удачи, | А третий наглый, молодой, | Меняет женщин, тачки, дачи…</s>
в ночи не в свете утреннем # По внешнему сужу о внутреннем, | А то, что внутрь - не замечается, | И ни в ночи, не в свете утреннем, | Весть, хоть и есть - не наблюдается.</s>
по внешнему сужу # По внешнему сужу о внутреннем, | А то, что внутрь - не замечается, | И ни в ночи, не в свете утреннем, | Весть, хоть и есть - не наблюдается.</s>
крепость # Сюзерен за океаном; | Звёзд полсотни крепость в нём. | Евро-запад общим станом | Совершает ход конём</s>
звезда # Сюзерен за океаном; | Звёзд полсотни крепость в нём. | Евро-запад общим станом | Совершает ход конём</s>
за океаном # Сюзерен за океаном; | Звёзд полсотни крепость в нём. | Евро-запад общим станом | Совершает ход конём</s>
ход # Сюзерен за океаном; | Звёзд полсотни крепость в нём. | Евро-запад общим станом | Совершает ход конём</s>
конь # Сюзерен за океаном; | Звёзд полсотни крепость в нём. | Евро-запад общим станом | Совершает ход конём</s>
покупатель # конечно, сыт разговором не будешь, | существует коммерческий план, | покупателя того не забудешь, | кого не стесняет широкий карман.</s>
коммерческий план # конечно, сыт разговором не будешь, | существует коммерческий план, | покупателя того не забудешь, | кого не стесняет широкий карман.</s>
разговор # конечно, сыт разговором не будешь, | существует коммерческий план, | покупателя того не забудешь, | кого не стесняет широкий карман.</s>
широкий карман # конечно, сыт разговором не будешь, | существует коммерческий план, | покупателя того не забудешь, | кого не стесняет широкий карман.</s>
в самоваре # Ёж под соснами иголки собирает, | В Самоваре жжёт с кудрявой берестой. | На веранде утром Тютчева читает. | Солнца луч начистил пряжкой золотой!</s>
из облаков # Ёж под соснами иголки собирает, | В Самоваре жжёт с кудрявой берестой. | На веранде утром Тютчева читает. | Солнца луч начистил пряжкой золотой!</s>
под соснами иголки # Ёж под соснами иголки собирает, | В Самоваре жжёт с кудрявой берестой. | На веранде утром Тютчева читает. | Солнца луч начистил пряжкой золотой!</s>
на веранде утром # Ёж под соснами иголки собирает, | В Самоваре жжёт с кудрявой берестой. | На веранде утром Тютчева читает. | Солнца луч начистил пряжкой золотой!</s>
пряжкой золотой # Ёж под соснами иголки собирает, | В Самоваре жжёт с кудрявой берестой. | На веранде утром Тютчева читает. | Солнца луч начистил пряжкой золотой!</s>
по ошибке # Где-то бог перестарался. | Что-то всё-таки не так. | По ошибке нам достался | вредоноснейший сорняк.</s>
бог # Где-то бог перестарался. | Что-то всё-таки не так. | По ошибке нам достался | вредоноснейший сорняк.</s>
вредоноснейший сорняк # Где-то бог перестарался. | Что-то всё-таки не так. | По ошибке нам достался | вредоноснейший сорняк.</s>
что-то # Где-то бог перестарался. | Что-то всё-таки не так. | По ошибке нам достался | вредоноснейший сорняк.</s>
холодный ореолом # Страх холодным ореолом | Опускается туманом, | Преднамеренным расколом, | Ожидаемым обманом.</s>
преднамеренным раскол # Страх холодным ореолом | Опускается туманом, | Преднамеренным расколом, | Ожидаемым обманом.</s>
страх # Страх холодным ореолом | Опускается туманом, | Преднамеренным расколом, | Ожидаемым обманом.</s>
обман # Страх холодным ореолом | Опускается туманом, | Преднамеренным расколом, | Ожидаемым обманом.</s>
туман # Страх холодным ореолом | Опускается туманом, | Преднамеренным расколом, | Ожидаемым обманом.</s>
телевизор # Телевизор, мне — находка, | в нём, красотки — хороши! | Не нужна мне, даже водка, | все забавы — для души!</s>
водка # Телевизор, мне — находка, | в нём, красотки — хороши! | Не нужна мне, даже водка, | все забавы — для души!</s>
для души # Телевизор, мне — находка, | в нём, красотки — хороши! | Не нужна мне, даже водка, | все забавы — для души!</s>
забава # Телевизор, мне — находка, | в нём, красотки — хороши! | Не нужна мне, даже водка, | все забавы — для души!</s>
красотка # Телевизор, мне — находка, | в нём, красотки — хороши! | Не нужна мне, даже водка, | все забавы — для души!</s>
в небесах # Глазки, друг мой, закрывай, | И в небесах ты полетай. | Там красиво, так и знай, | Поскорее засыпай.</s>
глазок # Глазки, друг мой, закрывай, | И в небесах ты полетай. | Там красиво, так и знай, | Поскорее засыпай.</s>
друг # Глазки, друг мой, закрывай, | И в небесах ты полетай. | Там красиво, так и знай, | Поскорее засыпай.</s>
в перепутье # Едем с тряской в перепутье | Крепче вновь скрипит мороз | Эх, весеннее распутье | Вязнет в лужах конский воз</s>
в лужах # Едем с тряской в перепутье | Крепче вновь скрипит мороз | Эх, весеннее распутье | Вязнет в лужах конский воз</s>
конский воз # Едем с тряской в перепутье | Крепче вновь скрипит мороз | Эх, весеннее распутье | Вязнет в лужах конский воз</s>
весеннее распутье # Едем с тряской в перепутье | Крепче вновь скрипит мороз | Эх, весеннее распутье | Вязнет в лужах конский воз</s>
с тряской # Едем с тряской в перепутье | Крепче вновь скрипит мороз | Эх, весеннее распутье | Вязнет в лужах конский воз</s>
живая снежинка # Вы видели, как бабочки порхают | Зимой, в морозноснежный тихий день? | Как на руки они с небес слетают, | Живых снежинок образуя сень.</s>
как на руки # Вы видели, как бабочки порхают | Зимой, в морозноснежный тихий день? | Как на руки они с небес слетают, | Живых снежинок образуя сень.</s>
с небес # Вы видели, как бабочки порхают | Зимой, в морозноснежный тихий день? | Как на руки они с небес слетают, | Живых снежинок образуя сень.</s>
бабочка # Вы видели, как бабочки порхают | Зимой, в морозноснежный тихий день? | Как на руки они с небес слетают, | Живых снежинок образуя сень.</s>
в морозноснежный тихий день # Вы видели, как бабочки порхают | Зимой, в морозноснежный тихий день? | Как на руки они с небес слетают, | Живых снежинок образуя сень.</s>
окружение # Дома тоже окружение, | Ощущается давление. | Ну какое тут общение? | Друг от друга удаление.</s>
давление # Дома тоже окружение, | Ощущается давление. | Ну какое тут общение? | Друг от друга удаление.</s>
одиночество # Дома тоже окружение, | Ощущается давление. | Ну какое тут общение? | Друг от друга удаление.</s>
общение # Дома тоже окружение, | Ощущается давление. | Ну какое тут общение? | Друг от друга удаление.</s>
удаление # Дома тоже окружение, | Ощущается давление. | Ну какое тут общение? | Друг от друга удаление.</s>
женщина # То в ласке и любви ты просыпаешься, | То сохнешь, как пожухлая трава, | То счастлива, то не живёшь, а маешься, | Но всё же перед Богом ты права!</s>
пожухлая трава # То в ласке и любви ты просыпаешься, | То сохнешь, как пожухлая трава, | То счастлива, то не живёшь, а маешься, | Но всё же перед Богом ты права!</s>
любовь # То в ласке и любви ты просыпаешься, | То сохнешь, как пожухлая трава, | То счастлива, то не живёшь, а маешься, | Но всё же перед Богом ты права!</s>
в ласке и любви # То в ласке и любви ты просыпаешься, | То сохнешь, как пожухлая трава, | То счастлива, то не живёшь, а маешься, | Но всё же перед Богом ты права!</s>
перед богом # То в ласке и любви ты просыпаешься, | То сохнешь, как пожухлая трава, | То счастлива, то не живёшь, а маешься, | Но всё же перед Богом ты права!</s>
подобно синей колыбели # Подобно синей колыбели | Качался небосклон. | Тому, кто пережил метели, | Не страшен вечный сон.</s>
вечный сон # Подобно синей колыбели | Качался небосклон. | Тому, кто пережил метели, | Не страшен вечный сон.</s>
небосклон # Подобно синей колыбели | Качался небосклон. | Тому, кто пережил метели, | Не страшен вечный сон.</s>
в небе # Ветер воет, ветер дует, | Разгоняет облака, | Ветер в небе всё беснует, | Всё валяет дурака.</s>
дурак # Ветер воет, ветер дует, | Разгоняет облака, | Ветер в небе всё беснует, | Всё валяет дурака.</s>
облако # Ветер воет, ветер дует, | Разгоняет облака, | Ветер в небе всё беснует, | Всё валяет дурака.</s>
ветер # Ветер воет, ветер дует, | Разгоняет облака, | Ветер в небе всё беснует, | Всё валяет дурака.</s>
с плеча # Любит гостя кыргыз принимать: | «дастархон» — душа нараспашку, | он оставит тебя ночевать | и с плеча подарит рубашку.</s>
кыргыз # Любит гостя кыргыз принимать: | «дастархон» — душа нараспашку, | он оставит тебя ночевать | и с плеча подарит рубашку.</s>
рубашка # Любит гостя кыргыз принимать: | «дастархон» — душа нараспашку, | он оставит тебя ночевать | и с плеча подарит рубашку.</s>
лес # Россыпь небес, | Придёт нежданно. | Темнеет лес | Сегодня рано.</s>
россыпь # Россыпь небес, | Придёт нежданно. | Темнеет лес | Сегодня рано.</s>
небо # Россыпь небес, | Придёт нежданно. | Темнеет лес | Сегодня рано.</s>
пшеничная оправа # Стройна, красива, тихо величава, | Как у березки строен стан, | Коса пшеничная твоя оправа, | В глазах озер земных дурман.</s>
озеро # Стройна, красива, тихо величава, | Как у березки строен стан, | Коса пшеничная твоя оправа, | В глазах озер земных дурман.</s>
в глазах # Стройна, красива, тихо величава, | Как у березки строен стан, | Коса пшеничная твоя оправа, | В глазах озер земных дурман.</s>
у березки # Стройна, красива, тихо величава, | Как у березки строен стан, | Коса пшеничная твоя оправа, | В глазах озер земных дурман.</s>
самарчанк # Стройна, красива, тихо величава, | Как у березки строен стан, | Коса пшеничная твоя оправа, | В глазах озер земных дурман.</s>
утро # Но тучи, словно одеяла, | Закрыли утро с головой. | И утро уже снова спало. | Сиреневый застыл покой.</s>
туча # Но тучи, словно одеяла, | Закрыли утро с головой. | И утро уже снова спало. | Сиреневый застыл покой.</s>
с головой # Но тучи, словно одеяла, | Закрыли утро с головой. | И утро уже снова спало. | Сиреневый застыл покой.</s>
покой # Но тучи, словно одеяла, | Закрыли утро с головой. | И утро уже снова спало. | Сиреневый застыл покой.</s>
природа # Дорога легкою казалась, | Плыл горизонт не торопливо, | Собой природа любовалась, | Вокруг всё виделось счастливо.</s>
на небе # Дорога легкою казалась, | Плыл горизонт не торопливо, | Собой природа любовалась, | Вокруг всё виделось счастливо.</s>
горизонт # Дорога легкою казалась, | Плыл горизонт не торопливо, | Собой природа любовалась, | Вокруг всё виделось счастливо.</s>
дорога # Дорога легкою казалась, | Плыл горизонт не торопливо, | Собой природа любовалась, | Вокруг всё виделось счастливо.</s>
причудлива # Причудливы узоры | На небе облаков. | Да здравствуют просторы | Далёких уголков.</s>
простор # Причудливы узоры | На небе облаков. | Да здравствуют просторы | Далёких уголков.</s>
далекий уголок # Причудливы узоры | На небе облаков. | Да здравствуют просторы | Далёких уголков.</s>
на небе облаков # Причудливы узоры | На небе облаков. | Да здравствуют просторы | Далёких уголков.</s>
летний вечер # Причудливы узоры | На небе облаков. | Да здравствуют просторы | Далёких уголков.</s>
лепесток # Смеешься, обрывая лепестки. | Накрою руку - знать не надо. | С тобою быть, гаданью вопреки, | Мне утешенье и отрада.</s>
вопреки # Смеешься, обрывая лепестки. | Накрою руку - знать не надо. | С тобою быть, гаданью вопреки, | Мне утешенье и отрада.</s>
рука # Смеешься, обрывая лепестки. | Накрою руку - знать не надо. | С тобою быть, гаданью вопреки, | Мне утешенье и отрада.</s>
гаданий # Смеешься, обрывая лепестки. | Накрою руку - знать не надо. | С тобою быть, гаданью вопреки, | Мне утешенье и отрада.</s>
утешение # Смеешься, обрывая лепестки. | Накрою руку - знать не надо. | С тобою быть, гаданью вопреки, | Мне утешенье и отрада.</s>
жизнь # Дуди, познеры, навальные – | Лишь бы бабок огрести | За помои, за скандальные. | С ними жизнь не по пути.</s>
альтруист # Дуди, познеры, навальные – | Лишь бы бабок огрести | За помои, за скандальные. | С ними жизнь не по пути.</s>
дудеть # Дуди, познеры, навальные – | Лишь бы бабок огрести | За помои, за скандальные. | С ними жизнь не по пути.</s>
познера # Дуди, познеры, навальные – | Лишь бы бабок огрести | За помои, за скандальные. | С ними жизнь не по пути.</s>
по пути # Дуди, познеры, навальные – | Лишь бы бабок огрести | За помои, за скандальные. | С ними жизнь не по пути.</s>
выходной # Промчалась - не успели оглянуться - | Всех выходных лихая кавалькада. | Пришла пора в обычное вернуться, | В работу погружаться снова надо.</s>
пора # Промчалась - не успели оглянуться - | Всех выходных лихая кавалькада. | Пришла пора в обычное вернуться, | В работу погружаться снова надо.</s>
лихая кавалькада # Промчалась - не успели оглянуться - | Всех выходных лихая кавалькада. | Пришла пора в обычное вернуться, | В работу погружаться снова надо.</s>
в жизни обычной # Что скрывается в Жизни обычной, | Как у папы Карла в каморке, | За картиной, ставшей привычной, | Но фальшивой для тех, кто в норке</s>
фальшивый # Что скрывается в Жизни обычной, | Как у папы Карла в каморке, | За картиной, ставшей привычной, | Но фальшивой для тех, кто в норке</s>
папы в каморке # Что скрывается в Жизни обычной, | Как у папы Карла в каморке, | За картиной, ставшей привычной, | Но фальшивой для тех, кто в норке</s>
как у папы карла # Что скрывается в Жизни обычной, | Как у папы Карла в каморке, | За картиной, ставшей привычной, | Но фальшивой для тех, кто в норке</s>
за картиной # Что скрывается в Жизни обычной, | Как у папы Карла в каморке, | За картиной, ставшей привычной, | Но фальшивой для тех, кто в норке</s>
славянская душа # В кипрейных ризах перелески, | Дубравы вещий перезвон, | Иль паутин под солнцем блески | Среди осин резных икон?</s>
вещий перезвон # В кипрейных ризах перелески, | Дубравы вещий перезвон, | Иль паутин под солнцем блески | Среди осин резных икон?</s>
из трилогии великая россия # В кипрейных ризах перелески, | Дубравы вещий перезвон, | Иль паутин под солнцем блески | Среди осин резных икон?</s>
среди осин икон # В кипрейных ризах перелески, | Дубравы вещий перезвон, | Иль паутин под солнцем блески | Среди осин резных икон?</s>
в кипрейных ризах # В кипрейных ризах перелески, | Дубравы вещий перезвон, | Иль паутин под солнцем блески | Среди осин резных икон?</s>
взгляд # Как ты узнаешь про меня, | Про то, какой ты будешь рядом ? | Любовь выходит из огня, | Который поджигают взглядом …</s>
о любви # Как ты узнаешь про меня, | Про то, какой ты будешь рядом ? | Любовь выходит из огня, | Который поджигают взглядом …</s>
любовь # Как ты узнаешь про меня, | Про то, какой ты будешь рядом ? | Любовь выходит из огня, | Который поджигают взглядом …</s>
из огня # Как ты узнаешь про меня, | Про то, какой ты будешь рядом ? | Любовь выходит из огня, | Который поджигают взглядом …</s>
темная ночь # Мне грязь застилает очи. | Сокрыла божественный свет. | И стали тёмными ночи, | И мнится мне, Мир – это бред.</s>
грязь # Мне грязь застилает очи. | Сокрыла божественный свет. | И стали тёмными ночи, | И мнится мне, Мир – это бред.</s>
око # Мне грязь застилает очи. | Сокрыла божественный свет. | И стали тёмными ночи, | И мнится мне, Мир – это бред.</s>
