Пылай, полыхай, греши, | захлебывайся собой. | Как менада пляши | с закушенной губой.
Дай нам силу, что хранила, | В зимней стуже жизнь в ветвях, | Чтоб она нас защитила, | В трудный миг, в прискорбных днях!
Сонно сияют витрины | Блеском прошедшего дня, | Будто живые картины, | Память о чем - то храня.
Сто двадцать дней подряд мороз! | Не маленький такой! | За минус двадцать, тридцать рос | Резвился над рекой!
Декадами я жизнь припоминаю, | От сотворения во мне , мне мира . | И эпизоды счастья пеленаю , | Строчкой стиха - волшебного кумира !
И путь мой осветит, | По-новому звезда, | Хоть время летит, | Как летят поезда.
Осенью поздней укрыты печали, | Сухою листвой картины шуршат, | Говоря все о прошлом, - ушедшие дали, | Лесом дремучим стоявшие в ряд.
Какой-то ад без целей и надежды | Какой-то ад убийственных трудов | Здесь проживают гордые невежды | Не знающие истинных основ!
Всё оживает и трепещет: | блаженства миг пронзает тело. | Кровь по сосудам так и хлещет, - | зовёт пожизненно на дело!?
Воробышек , ох ты пугливый, | С восторгом чирикнув опять, | Летишь ошалело счастливый | Весну, как невесту, встречать!
Мой миленький! – уходит день. | Нам ясно видится разлука. | Жаль, тень наводишь на плетень. | Жаль, от тебя ко мне, – ни звука.
Ты вся моя, поверь, Царица, | Богиня самых ярких грёз, | Никто с тобою не сравнится, | Тебя мне в дар Господь принёс.
Мы холодные губы целуем, | Шлем тебе наш прощальный салют, | В том колхозе, что мы отвоюем, | Твоим именем клуб назовут.
А жизнь- ; река, и боль уносит | В туманы памяти моей. | И снова ветра парус просит, | Зовя за тысячу морей.
В болезни, горести они | Нас окружают теплотою | Заботой, лаской, эти дни | И часто жертвуют собою.
Еще не старость, но не молод. | И одиночество острей. | И сердце заполняет холод. | И остается меньше дней
Не верю, что немцы не знали, | -фашистам прощения нет! | У них черепа укрошали | Гостиную и кабинет
С утра хватает телефон | И бесконечно всё звонит, | Как будто есть такой закон, | Как будто в заднице свербит.
И сама удивлюсь, что так ловко | Меня пляска закружит, пьяня. | Неужели подруга- сноровка | Как и прежде, спасает меня?!
Жизнь весной ведь только начинается, | Мысли вдохновляются мечтой, | Молодым влюбляться разрешается, | Скуку праздную из сердца вон долой.
Надежда изменить судьбу | В попытке перемены мест, | Включившись в вечную борьбу, | Сменив курятник и насест.
Только хану собрались | Этот выкуп передать, | В Кремль ордынцы ворвались, | Стали жечь и разграблять.
Там, бросив уличных воров, | Их воровская королева | Идёт колодцами дворов… | А ночь, как песня без запева
В райские кущи надежда зовёт, | выплывшая ниоткуда. | Кажется нам, что свершится вот-вот | самое дивное чудо.
Глаза сжигает едкий дым, | Такого вы и не видали, | Поминки справив по живым, | Про них здесь просто забывали
Балалайка, три струны, | Весело играет, | Песней звонкой на блины | В гости приглашает.
Ещё мне много по плечу, | Чего не сможет юная, | Любые горы сворочу, | Креплюсь, как сталь чугунная.
Дождик шлёпал ещё по карнизу. | Гром ещё дружелюбно ворчал. | Ты ещё умоляюще снизу | Просишь, чтобы ещё не кончал.
Кукушка годы раздавала, | Дремал от скуки соловей. | Ромашка тему разгадала | Моих безудержных идей.
Хоть что-нибудь ты мне ответь, | Твое молчание достало, | Сквозь регистрацию и сеть | Здесь человеку надо мало.
Твои губы, как приправа. | Лишних слов не говорю. | Губки, щечки, слева, справа. | Ты горишь — и я горю.
Даже голубь улетая, | Покружит над домом раз. | Что же мы, людей бросая, | Не опустим своих глаз?
Нельзя мужчину обижать. | И прав каких-нибудь лишать. | Мужчина топнул:Так держать! | Его осталось поддержать.
И пусть Господь от нас молитвы примет | за наших драгоценных матерей | и, как они, с Любовью нас обнимет | и не закроет в Царствие Дверей!
То мерцали бликами цветными | На замёрзшем в эту ночь окне, | То плясали искрами смешными | На портрете в раме на стене.
Каков подарок, смех ему, | Во благо горестей не трудных, | Таков успех, а смерть тому, | Кто потревожил чащу чудных
...И бродит путник одинокий, | Вновь оклеветанный молвой, | И с ним товарищ однобокий- | Это и есть он сам, другой!
На Востоке государство, | Меньше области любой, | Это лишь евреев царство, | Что живёт лишь головой!
Просыпайся богатырский Дух | Расправляй натруженные плечи | Пронесётся по планете слух | Загорятся Души, словно свечи!
Но когда подкатится година, | но когда на всех одна беда, | силы собирая воедино, | будет ни по чём ему орда.
Любовь бесконечна, | С ней сердце поёт. | Любовь длится вечно- | В ней счастье живёт.
Что уже ждёт на переходе | Когда зажжётся красный цвет, | И отдав дань последней моде, | Меня отправит на тот свет.
Вот и ценности этого мира, | Треснули будто шорты по швам. | Никакого вам дяди Шекспира, | Только похоть на смену творцам.
И снова старенький балкон, | И вот уже вон там - просветы. | И от машин - потоп и стон. | И запах свежей сигареты.
Ты опоздал...забудь меня | Истлели старые одежды | Мне холодно, среди огня | Ни дам и лучика надежды!
Разложив конспекты прямо | На скамейке пред собой, | Принялись зубрить упрямо, | Тараторя вразнобой.
Вот так на свете часто и бывает: | Любовь нам придаёт побольше сил, | Вот только мало кто предполагает, | Что Нелюбовь доводит до могил…
Слова твои больней кинжала | Мне сердце разрывают на куски. | И если бы могла, я б убежала, | Чтобы не чувствовать такой тоски.
Там синей птицей искушение | Судьбы, а, значит, будет взлёт. | Надежда дарит вдохновение | Такое сладкое, как мёд.
Погода людям говорит - | В какой красе она предстанет; | Сердца душевно вдохновит, | А, может, в чём - то и обманет.
Близки его изгибы нам, | От ласки, трепетание… | И солнца лучик по утрам, | К заре несёт признание…
попробую на пальцах посчитать, | что несомненно вызовет улыбку, — | до мая кажется недолго ждать, | но не имею права на ошибку.
Он не доел её, Иванушка-дурак. | И золотая рыбка уплыла. | И зуб Иванушки, оброненный пустяк, | С собой на дно морское унесла.
Вера в разум – выше веры в Бога, | Что бездоказательно – грешно. | Знаний зданье выстроено строго, | Но со смертью рухнет всё равно.
Жду весны и молчу в окно, | Дум несвежесть, как день сурка. | Нарисованное полотно | В безграничности потолка.
Господь желает, чтобы мы имели | От покаяния души плоды, | Чтоб слово Божье сердцем разумели, | И не могли жить без него как без воды!
О, ваше, женщин обаянье! | Прекрасен миг – взглянуть в глаза, | Где скрыты прелесть, пониманье, | Страсть, горе, нежность и гроза!
И, заставляя сердце биться, | Ты даришь мне Любви полёт, | Души прекрасная Царица, | В тебе вся красота цветёт.
От торжества цветения сверху | И до падения к низам, | Подобно раненному стерху | Уже молящейся смертям.
Век, растущий как дитя, | Как помочь ростку, | Причитая и кряхтя, | Наводя тоску?
Кому нужна душа от Бога? | И сердца чистого излив… | Лишь в суете с утра дорога, | И только в прошлом позитив…
Вам природа подарила | День весенних именин - | В джентельменов превратила | Поголовно всех мужчин.
Всё так, заполняя просторы, | к столпившимся прочие шасть, | легко огибая заборы, | фасады, проезжую часть
В них плавились и встречи и прощанья, | Отчаянье и жажда новизны, | Разлуки боль и трепетность свиданья, | И серость будней, и цветные сны.
плотью править оскал | недоношенных зол | долей дела похвал | с половинами смол
Моя маленькая жена | не читает мои творенья | даже если они сполна | переполнены вдохновенья.
И с каждым боем мы мудрее | И устаём себя кусать | И с каждым боем, мы храбрее | И не хотим, себя терять
Левый берег в июне жгуч, | Темерник закрутил сквозняк. | На веревке латунный ключ, | а шалаш от жары размяк.
Возраст не так уж впечатляет, | Зависимы ведь от него. | Задумываться заставляет, | Лишь замечаем вновь его.
Пора скоро гнездоваться. | Малых деток заводить. | Меж собой давай прощаться. | Долго им отдельно жить.
О главном напишу, | Хоть знаю, не прочтёт: | «Прощения прошу, | Великий звездочёт
И дурак уже усёк | Бытовую нашу тему: | Если кран один потёк, | Не меняют всю систему.
Пусть в хвое звёздочка лучится, | напоминая о Христе. | Так кто из вас не поскупится | доставить радость бедноте?
Шумели бури и дожди мочили, | И приходили, таяли снега. | Морозы стойко выжить научили, | И день ли, ночь ли, солнце или мга.
Волна нахлынет и уйдёт ... | И в жизни тоже так бывает : | Не ждёшь , а радость вдруг придёт , | И так же тихо исчезает ...
Я получил посланье | В конверте из высохшей глины, | Я увидал сиянье | Венеры рождённой из тины.
Весной ручьи шальные, | По снегу потекут, | Под мысли кружевные, | Сотрут зимы этюд.
Могучий грузовик летящий, | Рванулся к звёздам ржавой мглой… | А на асфальте пёс рычащий, | Стелился пластью под луной.
Пересмотрел до обеда бумаги, | Ряд неоконченных дел завершил, | А через час, выпив пенистой браги, | Ванну лечебную принять решил.
Мы бредём, прикрываясь зонтом, | И любуемся летним дождём. | Слышны музыки звуки кругом… | Как же счастливы с милым вдвоём.
И было много вдов у вас, | Чтоб дать пророку лепту, | Идти ж имел Илья приказ | В Сидонскую Сарепту.
Он северный, значит весна | желаннее и ощутимей. | И клетка грудная тесна, | и вечное необратимей.
Из стен пополз густой туман, | Что был темнее ночи, | Не верил в свой самообман, | Но как раскрыть мне очи?
Пред взором каждого предстал | Лишь на мгновенье. | Для этих семерых он стал | Как откровенье.
И повернулся дым на юг, | И в пелене восточный край, | И как-то плёночно вокруг, | Но солнышко поди замай!
Лучами солнца согреваешь | Ты ранним утречком с небес, | Холодным градом охлаждаешь, | Вот был с тобой, теперче без.
Снова бессонная ночь | И беспокойный сосед. | Ночь не спешит згинуть прочь, | Рассеять бездонный бред.
Где Тисульская землица | Где просторы без границ | По высоким травам мчится | Племя диких кобылиц.
Величье кустов поседевших, | Сугробов роскошная стать, | Убранство пеньков, проблестевших, | Что очень приятно блистать!..
Когда Души ты даришь Свет | На этот Свет летят Мечты | Наверно в этом весь секрет. | До простоты.
Грусть, прощай навсегда, тебя нет, | Исчезай, не смей возвращаться, | Захвати свой засохший букет, | Помолчи, не смей возмущаться!
Я почитал и что-то всколыхнулось | В душе, ещё неясною строкой, | И муза позевнула и очнулась, | И оказалась рядом, под рукой.
Шинель солдатскую надень, | Возможно, завтра снова в бой, | Быть может, что последний день | Живём на свете мы с тобой.
Что в схватке смертельной сражались, | Осознавая - победа нужна, | Врагу подлому не сдавались, | И здесь когда-то была война.
Вставайте, скорее, | Из своих прогнивших ям, | Давайте, смелее, | И захватите, с собой дам.
Не предаваться искушению, | К своим наверное страстям. | Не как по щучьему велению, | Вдруг оказаться тут и там.
Бежит, рокочет, льётся звук | По воле дирижёра | В инверсии тональных фуг | Гортанного прибора.
В лесу житьё для зайца сложное, | Там даже нечего украсть. | Там настроение тревожное, | То лисий след, то волчья пасть.
Любить врагов, любить друзей, | По правде жить, не лицемерить, | Быть в мире с совестью своей, | Терпеть, надеятся и верить.
Приближается к Каиру судно | С длинными знаменами Пророка. | По матросам угадать нетрудно, | Что они с востока.
По коридорам ноосферы | Бродить не каждому дано. | Таким как мы - не надо веры, | Чтоб с Богом пригубить вино.
Пусть меня захлестнёт пыл сомнений, | Пусть в конфликте я буду с собой. | Надо всё же найти средь течений, | Нужный путь, с голубою водой.
Шуленга к себе на суглан пригласил | Зайсанов, что род худаи основали. | Причину визита от них не таил - | Вопросы про землю всем родом решали.
Процент их жирности высок, | Калорийность выше крыши, | Но только исчезает прок | И мрут подопытные мыши.
И вы сидите у камина, | Сквозь шторы льётся лунный свет. | А за окном горит рябина | И мне уж восемьдесят лет!
Роскошна русская зима | И ей не налюбуешься. | Пред ней светлеет даже тьма. | В ней с вьюгой нацелуешься.
И динозавры молодыми были | И птеродактели кружили веселей, | Когда дела давно минувшей были, | Случились из истории моей.
Термоядерное жало, | Не так просто, как всегда, | Оно быстро убежало, | Непонятно, что , куда
Пол дня прошло, и я тоскую, | О нас с тобой начну мечтать, | Хожу и думаю впустую, | Тебя как не разочаровать.
И предпосылок не было на голод, | На непогоду было наплевать, | И не боялась ни жару, ни холод, | О будущем не приходилось горевать.
Ты на лунное солнце похожа | Для того, кто простился со сном, | Для того, кто поблизости лёжа, | Самый лучший ночной астроном!
Ах, метели, метели, | Шел всю ночь снегопад. | Как вы нам надоели, | Что идете подряд.
В нем тайное томление, | в нем корысть не на грош, | в нем есть воображение, | когда чего-то ждешь.
Гермоген воззвал к народу, | На измены указал, | И покой свой, и свободу | На бессмертье обменял.
- Да, конечно, подкрепляйся | В ужин, завтрак и в обед… | Угощайся, не стесняйся, | Рада я тебе, сосед!
Не то, чтоб они музыку любили, | Играть практически умели или петь, - | Рекламою по лесу раструбили, | Что - дорого и стоит посмотреть.
Я заволжского замеса, | Покажу всем высший класс… | Здесь я - керженский повеса, | В Нижнем – просто ловелас.
Разлинованные тетради | Без письма так давно лежат | И страниц не трепещут глади | Словно вымерли, словно спят.
Если уж поймал, то это шанс твой | Ты родился под счастливой звездой | То подарок для тебя не земной | Мир весь гордиться будет тобой
Хорошо, что ты меня нашел, | Что нашел и больше не терял. | У меня под кожею зацвел | Спатифиллум, что почти завял.
Мы тоже чаши до краёв хлебаем, | В не проходящем жизненном похмелье, | Но без вина, жаль, трезвыми бываем, | Когда припрёт к стене чертей веселье.
Они свою кровь проливали, | Идя под кинжальным огнем, | И жертвой последнею стали | В бесстрашном порыве своем.
Я знаю, в Рай узка дорога, | пространен путь в другой удел. | И претерпеть нам надо много, | Сам Бог терпел и нам велел.
Нам покоряются просторы | В путь дальний кто-то провожает. | У нас с тобой бывают споры | А все чего-то не хватает.
Ждать же мэр не привык! | Он к таксисту идёт. | Как приеду, дам втык! | Знали, чтоб наперёд.
Теряешь то, чего нельзя, | И предаёшь весь этот мир. | Нашлась бы по душе стезя — | На чистый лист ориентир —
Твоя улыбка, как весна, | Глаза блестят, как солнца луч, | Я пробуждаюсь от-то сна, | Как будто выхожу из туч
Нескончаемый ливень со мной. | Верный спутник, задумчивый друг, | Хоть сегодня на улице зной - | Слышу капель беспомощных стук.
Копают в мою душу, | Ломают и горят. | Я Карфаген разрушу, | Чтоб Рим не был распят.
Всё отдать и не ждать, | Что получишь взамен. | Просто жить и не звать | Для судьбы перемен.
Сам изрёк | И сам же перевёл. | ЧуднОй зверёк – | О двух главах орёл.
Побежал искать супругу. | Нет той даже во дворе! | Может, думает, с испугу | Смылась к тёще на заре!
Запретила себе, даже взглядом, | проводить тебя до ворот. | Ты всегда был и тёплый, и рядом, | как мурчащий от ласки кот.
Завалив за высокий прилавок, | Мой портрет разукрасили в шарж, | И всё тело «больное», вдобавок, | Размесили ногами под фарш.
Нальём горького вина, | Сладко поцелуемся, | Жизнь, увы, она одна, | Нынче набалуемся.
Неважно, что крепость не рада | Гостям, навещающим град. | А люди на улицах града | Неважно о чем говорят.
Не дали им возможность выбирать, | Расправилось сурово злое время. | Пришлось в боях жестоких умирать, | Сносить достойно тягостное бремя.
О, мой фюрер, докладываю вам - | Дело движется полным ходом! | Люди сидят по своим домам, | А не шатаются вольным сбродом.
Тем, кто верит в чудеса, | Трудно жить на свете, | Выпускает в небеса | Птиц он на рассвете
Он у меня корявый получился, | Пришлось топить досаду в коньяке, | Я с полбутылки вновь развеселился, | И стало тесно мне в особняке.
Тебе, конечно, рукоплещут, | Несут поклонницы цветы | И волны славы бурно плещут | Вокруг безбрежной пустоты!
Когда пропадают десятки людей, | кто явно Кремлю навредили, | в башке возникает не мало идей, | за что или как их убили!?
Всё течёт небесная водица, - | Пой, ругайся, только не молчи. | Вот прогонишь до Берлина Фрица, - | Сменишь на ботинки керзачи.
Мир перерождаеься в могильник, | светлый миф расстаял словно дым, | я не говорю про холодильник, | но и телевизо стал пустым.
Прилётные птицы игриво резвятся, | Любовные песни блаженно поют | И дружною парой поспешно гнездятся | Обретая в заботах семейный уют.
И веря и не веря вновь | Мечте высокого призванья, | Он проповедует любовь | Враждебным словом отрицанья
А маска твоя слетела, | Осколки о пол разбила. | Но моя злоба ослабела: | Да ну тебя дебила
Приглашает загорать на дикий пляж | Под защитой лёгкой тени кружевной. | И советует обдумывать вояж | На ближайший самый лучший выходной!
Ну в общем я так говорю. | Мне просто наплевать. | За это я себя корю, | Но мне хотелось спать
Пусть я буду - лишь десять цифр | В поле зрения Ваших глаз | Не стирайте их - это шифр | Неразгаданный в этот раз.
А на вершине часто, – кто придется, | Как говорится, – публика не та… | Когда однажды мир перевернется, | Всё встанет на законные места.
Озарённая Мечтой | В этом Мире Пробуждаюсь | И в Стихах Горю Свечой, | И с Огнём Небес Сливаюсь!
Бог помогает врага одолеть: | Ангела света нам шлёт на подмогу; | Ловит молитва противника в сеть, | Слава Спасителю Господу Богу!
Годы в спять не повернуть. | Не расставить всё как было. | Впереди нас новый путь, | Что уплыло, то уплыло…
Дымятся трубы в грёзах , а вулканы | Пока молчат , жалея синь небес . . . | Ужели мы безмозглые бараны ? ! . | Земная твердь изведала прогресс . . .
Все тогда легко прощается, | всем желается добра, - | так Любовью воскрешается | тот, кто мертвым был вчера.
Мужик бухается на ноль- | Мужик своих краев не видит. | Мужик всем шут или король: | Он любит или ненавидит.
Распустился чёрной розой | Цвет пытливых, умных глаз. | Изъявив желание прозой, | Парень взял монет как раз.
С неба падает снежок, | Ты синиц собрал в кружок. | Ну и хитрый Ты дружок, | Нюхом чуешь;-спор разжог!…
Нет могилки у сыночка | Ведь в родимой стороне. | Лишь развилка словно точка | Мать стоит там как во сне.
С дочкой он духовно близок. | Сам привился, ей сказал. | Риск прививки просто низок. | Не привьёшся - не скандал!
Шляпу чёрную надвинув, | Зал просторный оглядел. | Ногу за ногу закинув, | В кресло кожаное сел.
Приятно в радости забвение, | В той легкости невероятной. | Где преданных сердец биение, | Любви явление необъятной.
Золотой песок хрустит, | Корочкой сверкает. | Море лаской шелестит. | Волнами ласкает.
Смерти проигрался в карты, | В её руках несчастный кон, | Пусть вдаль уносят грязные плацкарты, | Под грустный колокольный звон.
Густая крапива, мелькнув у забора, | Посевами вскоре забьёт огород. | И также зловредно чиновничья свора | Безжалостно жалит бесправный народ.
На белый лист наносятся слова, | И фразы, превращаясь в предложенья. | Но от тревог кружится голова, | Что телефон молчит без сожаленья.
Несчастье для слепца – угасший свет, | А без молитвы - темень для души. | Спасенье наше - лишь Христа Завет, | Раскаявшись, к Христу, душа, спеши.
Те что вынуждены спать | В сновидениях летая | Мне же бденье благодать | Жить бессонницей страдая
Без всякого пьянящего накала, | Без слез ручьем, когда душа кричала, | Теперь она как будто из металла, | Саму себя цепями заковала
Словно фею лесную, | Вместе с вещими снами, | Я тебя нарисую, | Колдовскими словами.
Мы соседям тянем газ, | Выдержит ли смета? | Нет решения у нас, | Нет у нас ответа.
Что ты, месяц окаянный, | ходишь в небе вкруг меня? | Я и так любовью пьяный, | поджидая у плетня
Беда, когда под бой часов | Душа меняет крен ушей, | Следя не тонкий вечный зов, | А полногрудый зов вещей.
Рисует кистью небо голубое. | Куделью белой облако летит. | И всё вокруг пронзительно живое. | Листок осинки жалобно дрожит.
Кто сказал, что любить - молодым, | И сердцам только их пылать? | Что любовь не приходит к седым, | И о ней им лишь вспоминать?
Твой образ светлый и тепло, | Лучистый добрый взгляд | Всем страхам, суете назло | Любовь в душе хранят.
Уходим, уезжаем, улетаем, | Со счастьем рвем связующую нить, | И все мы, несомненно, понимаем, | Но ничего не в силах изменить.
Так счастливые крылья дарю, | Белоснежная муза, взлетай, | Сумрак весь обращая в Зарю | Все страдания адские в Рай.
К чему меж этих двух царей | Вражду природа поселила? | В них видится всего ясней | Два превосходства – ум и сила.
Листья золотые | Ты, березка, сбросишь. | Годы молодые | Как вернуть, не спросишь.
Сугробы ссохлись, посерели, | Сквозь них пробились ручейки. | Зевак тревожат птичьи трели | На берегах Мосвы-реки.
Как неочищенная водка, | Как за квартиру платежи, | Как в бочке тухлая селёдка, | Как у соседей кутежи.
В разлуках души закалятся | И станут истинно родными. | Так вместе к счастью устремятся, | Оставшись вечно молодыми.
…а Лето радугу плело! | Водило кистью по этюду. | К полянам ягодным влекло | отведать Господа причуду.
Благословен Бог Всемогущий, | Который наставляет нас. | А разум видно вездесущий, | Доступен видимо сейчас.
Суров твой нрав и редко дружен, | Как жаль, что чаще ты шумишь, | В природе несомненно нужен, | Но так люблю, когда ты спишь.
Явились в бор барсук с женой, | Козёл, кивая головой, | Примчались лань и рысь трусцой, | Кабан пришёл со всей семьёй.
Да он любой как все, | Как каждый предыдущий, | Как спицы в колесе, | Как каждый здесь живущий, , 
Шлют послание тайнописью строк, | Что уже будильники трясутся | Преодолевая сна порог! | Мне осталось, только лишь проснуться.
