Вдыхая розы аромат | -Люблю! – сказали они нежно, | Взаимно слившись в поцелуе, | Что было просто неизбежно! # Молитвы Воскрешению Пр Лазаря Друга Христа</s>
Полной грудьюб надышаться | И в объятьях сжать, | Утонув в глазах твоих, | Запах твой вкушать. # Твоего приезда день</s>
Как твой порой ловила взгляд, | Скрывая слёзы за улыбкой, | Как сердце не могла унять - | Всё это было страшной пыткой. # Я напишу тебе письмо...</s>
Свои силки окрест расставив, | Её желает всякий изловить. | Несчастье только позабавив, | Своим желанием счастливым быть. # Птица счастья</s>
В трауре целый мир. | Ценности - под прицелом. | Школа  безумцу – тир. | Чёрное кажется белым. # Беда в казанской школе</s>
А она придёт,  не спросит: | Ждёшь её, не ждёшь? | За окном зима ли,  осень... - | Чувства не уймёшь! # В утешение брачующимся</s>
Бурлаки на Волге так, | Размочив сухую воблу, | В квасе, свой добавив смак,- | Разным видам дали моду. # Поэтическая игра Кроссворд стихом-загадкой</s>
Откуда берётся скорбь, | Которая уничтожит? | Ребёнок уйти готов, | Он без Любви жить не может. # Ребенок</s>
Распустить себя проще простого, | Но и проку не жди никакого. | Образ жизни, здоровый настрой | Есть итог от работы с собой. # Нет волшебной таблетки такой</s>
Не рыдай ты, казачья жена моя! | Собери урожай наш старательно! | Карабин на стене в курене висит | Его  чисть, как учил обязательно! # Молитва на Вербное Воскресенье</s>
Ты  прости бродягу,  без крови  родная, | Всю  семью  с  работы,  часто  вспоминаю… | Лица  утром светлые, с домашнею  улыбкой, | К вечеру  уставшие,  но сердцем  душой  чистые…. # Ольге Львовне с пожеланием</s>
Но нельзя же стать богатым | На рабочие зарплаты. | Выход быстренько нашли, | Взятки в обиход ввели». # Беседы при луне</s>
Так говорил суровый ветеран, | И гладил меч железною рукою, | Враг наносил ему немало ран, | И только сталь спасала жизнь герою. # Март</s>
В хмарь, в непогоду холодны | Глаза и лица у прохожих, | Дед верит - звуки в душу вхожи, | Надеждой дни его полны. # Шарманщик</s>
Словно Есенин с веселия, | Не нагулявшись сполна – | Пью ароматы с похмелия, | Пью, потому что – весна!.. # Холод смешался с теплом...</s>
Но единственной на свете | Я носил быков и ланей, | Так любил, что даже бредил. | Только мало было дани. # Не охотник я, поверьте</s>
Но  в вашу пользу – не победа! | Вы не избавитесь от блох! | И вас и нас за этот выбор | Накажет справедливо Бог! # Молитвы Иконе Богородицы Любечская</s>
Пусть - оно - потихоньку - дальше - | с понедельника - до июля, | так же чисто, без нотки фальши, | лишь бы знать - что не обманули. # Из серванта достали бокалы</s>
Хочу расслабиться душой, | Услышать шум волны прибоя. | И насладиться тишиной, | В рассветный час ещё без зноя. # В отпуск</s>
Забей на всё. | Не складывай диван. | Не перезванивай на неизвестный номер. # Биполярная сова</s>
Давай  мы с чистого. Так тоже, может быть. | Ведь встреча не случайна, точно знаю! | Давай друг другу верить и любить, | Прости меня,  и я тебя прощаю... # Давай...</s>
В этом Смерче, | Словно подвешена, | Я Земли под ногами | Не чувствую, # Раскололось небо...</s>
Зачем-то все же встретились. | Теперь понять – зачем же? | Так много на планете ли | Встречающихся реже? # Зачем-то все же встретились</s>
В себе хрустальных терций | И миру улыбнись! | Пусть не хладеет сердце... # В тебе иной свободы...</s>
На трещинах камней пыльца. Весенний сумрак | Неслышным ветром переносит таинство цветов | На камни, в никуда, ведь где угодно умбра | Закатным золотом украшена и свой исток # На трещинах камней пыльца</s>
Надеюсь, мне не скажут - рано, | Когда приду в последний час. | Жизнь пролистается с экрана | И соберется в общий пазл. # Небесный мотылёк</s>
-- Сады у Тибра бесподобны ! | В них боги кушают нектар ... | А тех кто факелам подобны , | Огонь переместит в Тартар -- # Тетралогия - Мера, Осознание, Лунное золото, АТ</s>
А эти, что на крыше, ноль внимания. | Наверное, у них в мозгу дефект. | Да, голуби сейчас такие странные, | Все эти сорок милых человек. # Итоги - Школьные годы чудесные...</s>
Зачем тебя послали Боги. | Вновь силу мою испытать, | Иль Дьявол просто посмеялся, | Чтоб слабость мою показать. # Хочу забыться</s>
Творчество священным | грешные познАют, | Лишь на вдохновенном | Пишет, вспоминая. # Творчество</s>
Знаю, есть Любстанция такая | И билет наш в Лето не просрочен. | Пробежим от края и до края, | А потом уж побредём и в Осень! # А билет наш в лето не просрочен</s>
Говорить себе: «Не кисни! | С испытанием по жизни - | трудно всем. Но ты крепись: | помирать - не торопись!» # Комментарий...</s>
Нам дарили игрушки перед фронтом отцы... | Но не все возвратятся обратно бойцы. | Кукла. Белое платье...Что кому рассказать? | Этих кукол на пряжу приходилось менять! # Детство войны</s>
Я в голосах не потеряюсь громких | Своей неповторимой тишиной, | На ледяной ломающейся кромке | Отчаянно повиснув в час ночной. # Журавушка</s>
Прекрасна     мокрая   мелодия, | в  ней  отголоски  счастья и любви, | разная ,  как  легкая  рапсодия , | где  дружат  ноты  неба и земли. # Мелодия дождя</s>
Какой сценарий приготовлен | Моей судьбе на твой заказ, | Я буду одиночеством вновь сломлен | Или любимых самых глаз | Вполне себе я удостоен? # Её талисман</s>
Я ль виновен или кто-то | Злобно дышит на меня | У него одна работа, | Чтоб сожрала нас война. # Мне б напрячь мозги покрепче,</s>
С кем проводишь вечера? | Я конечно же одна... | Жду и верю я в тебя, | Любишь ты одну меня. # Шлю привет</s>
Кошка чёрная под носом | Мне дорогу перешла, | Чёрт её под ноги бросил, | Не успела, не прошла! # Приметы</s>
Время не лечит, оно безвозвратно уходит, | И вместе с ним мы уходим от глупых страданий, | И напоследок целуя того, кто был дорог, | Мы закрываем шкатулку запретных желаний. # Время</s>
Что значит слово ?! - | в нём и могилы, и миры ... | души основа | в ночи весенние костры ! # Не полюбили</s>
Казалось бы, что навечно | Детство и жизнь одна. | Сердце мое с тем местом, | В которое я влюблена! # Детство</s>
будут читать и вспоминать, | о счастии земном, | как удавалось им летать | на троне золотом. # осмелюсь ли</s>
Борец-мошенник нынче не в парче, - | К реальному стремится срок условный, | Но есть к нему вопрос не уголовный: | «Дворец вождю, он, собственно, зачем?» # Дворец Путина</s>
Погасли искры юморины | В беззлобных шутках и словах - | По непонятной всем причине, | Несущей миру смутный страх. # День смеха</s>
«Зелёных человечков» напугались, | Те звери, что за баксы так старались | - Им лучше на майдане поскакать, | Чем от Крымчан по морде получать. # Несбывшиеся планы США</s>
Заяц - лох! Олень - олень! | Фактов ноль, так можно целый день | Бросать слова на радость публики. | Делать шоу в пределах одной рубрики. # Пёс курит трубку и ругает власть!</s>
Всюду те, кто в делах ни бельмеса. | Нефть и газ отравили умы. | В коммунальном аду “Окжетпеса” | Мы – заложники буйной зимы. # И взошла ты на лобное место</s>
Расскажи ты любимой своей, | Как друг другом с тобой одержимы, | И как день ото дня голодней | Страстью сладкою, неутомимой. # Расскажи ей о нас</s>
Кто у нас теперь не плачет, | Под вино и шашлыки?.. | Ну - тка выпьем за удачу, | За талант и за стихи! # Да воздастся всем но вере</s>
Структура слова | пластична и | космична... # Структура слова</s>
Мне б в небо за тобой, да перебиты крылья - | Уже мне больше, не подняться ввысь. | Как жаль что друг о друге мы забыли, | Своей любовью, мы с тобою не спаслись. # Мне б в небо за тобой</s>
Я исполню всё, что просят, | Если без сомненья с верой | И что важное попросят | Будет всё им полной мерой. # Если двое или трое соберутся в Моё имя</s>
И пусть всё сон, а мы – марионетки, | Пусть наша жизнь  - песчинка бытия, | Но из златой однажды вырвемся мы клетки, | И улетим с тобою в дальние края. # И легче ветерка...</s>
Почти за шесть тысячелетий человечество | Прожило в мире меньше трехсот лет! | Над каждою страной, своим отечеством | Война несла всем людям много бед. # В ожидании Мессии</s>
Для любви есть тысячи дорог; | Даже если ты живешь один, | Всё равно найдется тот щенок, | Чтоб делить любовь с ним без причин; # Человек рождается один</s>
Я уйду от тебя на рассвете, | Не дождавшись «прости и прощай». | И всё видится в розовом цвете, | Обо мне лучше ты не мечтай... # Я уйду...</s>
Свалю на то, что психолог не очень, | Опять пошли не по тому мы пути. | А одиночество камнями точит, | Никак не хочет из меня уйти. # Я чего-то могу не уметь</s>
И воздух тот, которым дышишь, | и то, к чему касались руки. | Весенний дождь и шум по крыше, | в мелодию, преобразованные звуки. # Гимн любимой</s>
Увиден цвет - быть может - | на шляпке, пульсом быстр, | хоть тот, с кем ты встречалась в ней | и сыщику не в сыск... # Могильный - то зелёный цвет</s>
За дымкой видятся селенья | В долине где-то вдалеке; | Зеркальных отсветов свеченье | Играет на Катунь-реке. # Уймонская долина</s>
Богатство с властью целью первой служат, | Предательство в почёте, а не Честь... | А пред Дверями Тенью грустной кружат, | Ведь Совесть начинает тело есть. # Тоскует Ангел, стоя на погосте...</s>
Ночь уйдёт своё ложе искать, | Всё, что надо она увидала. | С ней в обнимку исчезнет тоска, | Прихватив прошлых грёз одеяло. # За ресницами прячется взгляд...</s>
Очень ждём и искренне надеемся: | Сложится, случится, и спроворится. | Вдруг Горыныч где-то завиднеется? | Повторится старая история . . . # Вдруг?</s>
Мне бы, мне бы, мне бы: бы, бы, бы … | И затихло сердце навсегда. | Жаль, что умирают вместе с нами | Шахты и заводы, города… # Мне бы...</s>
О, как божественны все звуки, | Я слышу зов твоей любви, | Как трепетны воспоминания, | Надежды, веры и мечты. # Пока любовь живет меж нами...</s>
Путь - заложенный откроет в человеке дар, | Лишь бы - душу не пылил он на дурной товар. | Лишь бы - к истине стремился, мудрому внимал, | Тем в условиях соломку бедам постилал. # Потребности, возможности, условия</s>
Как прекрасны моменты счастья, | Их так много, что все не запомнить. | Пусть они навсегда станут частью | И с лихвой всё вокруг заполнят. # Рассвет над станицей</s>
Быстро реки текут, | Водопады, пороги. | Впереди всех нас ждут | Перекрёстки, дороги. # Перекрёстки дороги</s>
Свежий ветер, щебет птиц | Поздравления подарят. | Красоту пусть Вашу славят - | Восхищенью нет границ! # Женщинам с праздником</s>
Удод, затеял строить плот. | Наворовал гвоздей, и прутьев. | То гвоздь кривой, то прут не тот... | Не может справиться удод. # Удод</s>
Больно пускать иглы под сердце | Больно идти в никуда | Больно оставить душу на блюдце..... | Больно...хмельная вода... # Змеиные души...</s>
Строитель: | Чтобы свою душу не расстроить | и карьеру прочно Вам построить, | Вы спокойно кирпичи кладите, | на людей вокруг Вы не глядите.... # Советы начинающему поэту</s>
Ко всем сегодня обращаюсь, люди: | Вы стоны, крики слышите Земли? | Совсем мы потеряли свой рассудок, | Когда ж зальёт нас волнами любви?! # Ах, как же чуден аромат Победы!</s>
Четыре партии жируют --- | Бюджет страны мирно воруют, | Повсюду строятся <ничейные Дворцы>. # Песнь со слов Афганца</s>
Припев: | А за окном колючка в три ряда, | Не денешься от сюда никуда… | Сижу на нарах, и вокруг братва, | А жизнь моя уходит в никуда… # Последний снег шансон</s>
Ведь я их бросил , тут все просто - | Они все помнят до сих пор . | А бывших их   , за перекрестком | Мой ожидает приговор . # О любви и недругах</s>
В твоём лукошке моя душа, | Её не стоит ранить больше. | Ведь мне нужна лишь ты одна, | А всё иное, пусть будет дальше. # В твоём лукошке</s>
И слово о родителях, ВСЕГДА | Они тебе и тыл твой и опора! | Не предадут и не унизят никогда, | Разделят с тобой радости и горе. # Поздравление моему внуку</s>
И будем петь мы с милой | Не зная про оброк | Инспектор нас не ищет | Поёт про всё сурок! # Удалецъ!</s>
Замела всю их еду, | Голодно бедняжкам. | Кто поможет, как ни мы, | Нашим милым пташкам? # Птичкам голодно</s>
Мне вспомнилась красавица Тамара, | Потом ещё со  многими бывал, | Как  гурию  одну из Краснодара | Сразил до  безрассудства наповал! # Ловелас</s>
Важно, что у меня, есть ты, | Важно то, что мы любим сильно! | И растут, как в степи цветы | Наши дети, и это видно. # Тарабанит по окнам дождь</s>
Догорает куст калины, | Рвётся из груди душа, | Оставляя капли сердца | На парчовые снега. # Зимняя калина</s>
...А ты не знаешь, как это больно - | Твоей не быть, когда быть - так хочется, - | Вести себя напоказ пристойно, | Желая сдохнуть от одиночества, | Прекрасно зная, - никто не вечен... # А ты не знаешь, как это больно...</s>
Сильная женщина плачет порой, | Плачет она от любви и бессилия, | Плачет, когда ей подрезали крылья, | Или когда расстается, с мечтой! # Сильная женщина!</s>
Яркой радугой проснутся | Все мечты, что позабыты. | Буду снова верить в чудо, | Мысли - радостью расшиты. # Лес детства</s>
Люблю, когда цветёт подснежник, | Когда сгорает лунный свет, | Когда любовь твоя без льдинок... | И лучше  дружбы в мире нет... # Люблю, когда...</s>
Бывает, если пить не в меру. | А на закуску щавель и салат. | Но знаешь, я совсем не рад, # Везувию</s>
Но и потом через несколько | Серий игры находим по радио | какую-то Зою и она про нас | Не много знает что мы Джек # Призрачный бегун</s>
На «Земле обетованной» | Дед Мороз в костюме банном | По песку идет пешком | С бородою и мешком. # На Земле обетованной</s>
Припев: | А за окном ноябрь снежный, | Рассыпает свой - хрусталь. | О тебе я пишу песню нежную, | И сигаретой истлела печаль. # Знаешь, как сейчас за окном?</s>
И кормят их невкусными борщами, | И просят сбрить противные усы. | Внимания давно не обращая | На бесконечность чёрной полосы. # Не те, не с теми, на чужих местах</s>
И прорвётся, | Через небо, | Журавлей, | Курлыча, | Стая. # Но, уже совсем, не нами...</s>
Теперь всё вспоминая до рассвета, | Я в небесах парЮ, всё думая об этом | И видимо теперь,по всем приметам;- | Я от тебя давно не жду ответа!… # Благодарю Судьбу...</s>
Жарче солнышко печет, | Почки листья расправляют, | Вешняя капель поет, | И тюльпаны расцветают!.. # Весна</s>
В своей клетчатой кепке | флиртую с молодой кокеткой, | и из меня вырывается фонтан | предложений на контакт. # Костюм в клетку</s>
Была мучительная страсть, | Но всё проходит. | Если дрова в огонь не класть – | Тепло уходит. # Диалог с моим недругом</s>
Иному - просто, всё меж делом - | Как встретил, так, потом, и отпустил... - | Напел попсы мотивчик... Без припева... | Не глубоко копнул... Таков и был... # Отражения</s>
Когда очнулся я в палате, | Поведал он, что я другой, | Не думал даже я о плате, | К любимой, побежав стрелой. # За гранью - Испытание света</s>
Как будто это стыд какой, | позорной слабости признанье - | сказать три слова на прощанье, | и чью-то руку сжать рукой! # Так сложно говорить люблю...</s>
Можно бы в этом - во всём - усомниться, | Если б не всполохи дальней зарницы, | Если б не радуги лёгкой врата | В свете живительном Лика Христа... # Новая публикация на сайте Российский писатель</s>
Отсчитав дни недели конечной, | В новой Ожив, идет на подъем, | Ведь природа… природа, все ж, вечна, | У зимы не отнят полигон. # Зима на исходе</s>
Ну, кому не хотелось бы верить | в разрешение вечных проблем | чудодейственной доброй идеей, | обещаниям праздничным всем! # Снова ждёшь информации скудной</s>
Аня,  желает отсюда выбраться. | Жизнь не подарок,  крутитесь сами. | Аня судьбе белый флаг не выбросит. | Аня помашет судьбе  трусами. # Возьмите Аню за рубеж</s>
Ты носишь его всюду, где б ты ни был | И привыкаешь к его выходкам вполне | Контроль – вот что оно не любит | Контроль ему  не нравиться  вдвойне # Время</s>
Натуры нам не изменить | Не переделать делом | С какой родился, будешь жить | Навечно вместе с телом # Советы многие дают</s>
За утра восхитительные трели | И знойный полдень жаждою томим, | И вечер, где в прозрачной колыбели | Садится солнце в белых яблонь дым # Прощанье с летом</s>
Мы вас любим за крепость красивой души, | За чутьё и заботу! Вы во всем хороши! | Вы умеете щедро с цветами встречать, | Нам приятно улыбки от вас получать! # День Защитника Отечества</s>
Я намекну ход мыслей парня. | Пчела была ведь не простой: | Модифицированно-парной, | А он парнишка холостой...! # Укушенный</s>
Как же в детстве хочу оказаться я снова, | Не даёт мне покоя желание моё. | Так хочу, чтоб она мне сказала хоть слово, | Чтоб услышать опять нежный голос её. # Фото мамы моей</s>
Я в мыслях на небе ли, по небу, | Но вот, поздравляю по случаю. | Хотел подарить Вам чего-нибудь, | Но что подарить-то могучему? # Рубашечка</s>
Венки, портреты, фотографии... | Судьба для каждого, поверьте, | Свои слагает эпитафии | Из дат рождения и смерти. # Эпитафии судьбы</s>
Москва ты моя, Москва | Горделива, упорна, упряма, | Хоть ты очень капризная дама | В тебе много любви и тепла... # Москва</s>
У одиночества разведены мосты, | У зависти зеленый цвет, жабры. | У недоверия охрана, посты, | У толпы все инстинкты стадны. # Такая разная жизнь</s>
У кого-то под ногами | Ворох памяти, забот. | Память топчут сапогами | И городят огород. # Мудрён Дурак</s>
Как же я по тебе скучаю, | Мне твоих не хватает фраз. | Наши письма опять листаю, | Перечитывая их не раз. # Как же я по тебе скучаю</s>
Яблони в цвету - какое чудо! - | - Вряд ли встретишь лучше на земле, | Аромат несётся их повсюду - | - Так бывает только на селе. # Яблони в цвету...</s>
Много лет уж прошло | С той суровой войны. | Помним подвиг отцов | Той далёкой весны. # Помним подвиг солдат</s>
Мой дядя знал, что подвернётся | Ему богатая вдова, | И всем подряд свои визитки | Давал. # Визитки</s>
Дженифер Лопес, я в тебя влюблён! | Греют звуки румбы, | Дразнят жесты танца. | Я им окрылён! # Давай, потанцуем!</s>
Крики чаек, усилив сердечный набат, | Будят счастье в груди, как большой водопад. | И уходит болезнь, словно якорь на дно... | Жить, и править в груди моряка, не дано! # Море - лучший лекарь!</s>
И те будни мелькали, был уверен, | Торопились раскалённым летом | Нам короткий срок линейкой был отмерен, | Как ей тогда я мог сказать об этом? # Детские травмы сдавили виски</s>
Каждую ночь он так с ней говорил, | Другом для Девочки лучшим он стал. | Больше никто на земле не любил | Его. Да о нём никто больше не знал... # Девочка и Совёнок</s>
До этой даты считала дни, | Всё готово к приезду родни: | Стол, постели, и в баньке жарко... | Приехали с кучей подарков. # Долгожданные гости</s>
«Но почему не проблеснулась, | После годов общения тех, | Тоска иль грусть, или печали, | Или желанье вновь к вам сесть?» # Письмо в один конец</s>
Только зябнет на ветру. | Голая   берёза. | С ней ведёт, метель игру. | Сказки   от  мороза… # Шалит зима</s>
Я люблю вечерний Анненск | Свежий ветер с плотины | Шум,под ивой,водопада | И по мостику шаги # Я люблю</s>
Белая черёмуха, яблоневый цвет. | Никого дороже мне и милее нет, | Скоро я вернуся во родны края, | Где меня заждалась | Любушка моя. # Вечер с друзьями</s>
Скромный, кудрявый мальчик | Немного, картавил речь… | Прости нас товарищ, Ленин, | Союз не смогли мы беречь. # Прости нас товарищ, Ленин</s>
Давай гуляй, иди всё мимо-мимо, | Детей, друзей сторонкой обойди. | Ведь только смерть всегда непоправима, | А остальное:... Боже сохрани. # Послековидное</s>
В мире сложном жить не просто - | что ни говори. | Всем желаем мы - здоровья, | счастья и любви! # Кашемировая свадьба</s>
Это детство! Что его прекрасней? | И скажу я честно, без прикрас: | Мы с сестрёнкой – бабушкино счастье, | И  её любимей нет у нас. # Лаваши</s>
Безнадежность и окна, черные, | Черная ночь, корит – покорись! | На отдых, всех отсылает, | А ты – у окна, стоишь! # Ночь, права получила?</s>
Вечер, курящий окурок… | Тёмный и жалкий в себя. | Светит фонарь в закоулок, | В небо без звёзд серебря… # Дыры заборов</s>
Спасибо за раннюю чашечку кофе, | Что с привкусом счастья её подаёшь. | Уста для тебя стали нежно-медовые, | С которых нектар ты сладостно пьёшь. # Спасибо за утро</s>
На войне погибшем деде, | Когда смотрели фильмы о беде, | Совсем не давно, о ее победе, | Шёл дед с отрядом при луне. # Запах ржи</s>
Да, это жизнь, ее нормальный ход, | И не от этого в душе скребутся кошки. | А от того, насколько весь народ | Кружит везде, как гнилостные мошки... # О многом и немного о справедливости</s>
Промчалась молодость, как лето, | И вот настали холода, | Сидишь ты утром, на рассвете, | Читаешь Гёте ты одна! # Хочу признаться, в чём - не знаю...</s>
Так не стоит раскладывать карты напрасно. | Зря сверкающий бисер разбрасывать им, | они точат ножи и за пазухой красного | петуха берегут, как бы чуя нездешнюю силу. # Некто</s>
Водяному в апрель угодив, | пруды люди чистили мудрые. | Весна была робкой, подспудные | воды под льдинами вскрыв | недавно, во дни эти трудные. # Утки уснули в пруду</s>
Хочу ... чтобы избранник мой постиг | Во мне не робость униженья, | А гордость самоуваженья, | И перед ним тогда | Откину я покров ненужного стыда. # Интегральная Лирика, Индия</s>
Один любил её за внешность, | Считал красоткой неземной. | Другой - за ласку и за нежность, | Но звал дурёхой за спиной. # И ей казалось часто очень</s>
На ярмарках несло к вертепу. | Капустку лопали в мороз. | Дык сеяли всё рожь да репу. | При Катьке барин бульбу свёз. # Так тогда жили</s>
В тишине, наполнившей тот вечер, | Мне казалось, можно умереть. | Знаешь что, замёрзший человечек, | Жизнь порой куда сложней, чем смерть. # На крещение</s>
Из прошлого века мне смотрят в глаза, | Как будто за годы устав от молчанья, | Всю горькую правду хотят рассказать | О выпавших им  и  стране испытаниях. # Когда открываешь семейный альбом</s>
Есть в Доброй сказке Свет и Путь. | Подняться только не забудь | И в Неба посмотреть Окно - | Там всё Красиво и Светло. # Услышьте</s>
Коровы в селе перестали доиться | Попрятались бабы крестясь на печи. | Вот это Илья в небесах веселится | На бричке развозит свои калачи! # Первая июньская гроза</s>
Живет влюбленная душа, | Одиночеством укрыта, | Судьба ведет нас не спеша, | Страсть с мечтою не забыта... # Страсть не забыта</s>
Или ты меня потянешь | За серебрянную нить, | Нет? Так как-нибудь сама уж | Перестану скоро ныть. # Невдомёк</s>
Справа боль, слева смех, сзади бедность и старость | Ну, а что впереди, то не знает никто | А ведь надо всего, я замечу вам, малость | Надо чтобы всегда побеждало добро... # Так мало надо для...</s>
Сегодня первый день весны | И разом схлынули морозы, | Поплыли в лужах корабли, | Салютом вспыхнули мимозы, # Первый день весны</s>
